fare_id,route_id
puj_traditional_base,LTFRB_PUJ1059
puj_traditional_base,LTFRB_PUJ1060
puj_traditional_base,LTFRB_PUJ1148
puj_traditional_base,LTFRB_PUJ1149
puj_traditional_base,LTFRB_PUJ1152
puj_traditional_base,LTFRB_PUJ1153
puj_traditional_base,LTFRB_PUJ1188
puj_traditional_base,LTFRB_PUJ1189
puj_traditional_base,LTFRB_PUJ1190
puj_traditional_base,LTFRB_PUJ1191
puj_traditional_base,LTFRB_PUJ1192
puj_traditional_base,LTFRB_PUJ1193
puj_traditional_base,LTFRB_PUJ1194
puj_traditional_base,LTFRB_PUJ1195
puj_traditional_base,LTFRB_PUJ1212
puj_traditional_base,LTFRB_PUJ1213
puj_traditional_base,LTFRB_PUJ1252
puj_traditional_base,LTFRB_PUJ1253
puj_traditional_base,LTFRB_PUJ1278
puj_traditional_base,LTFRB_PUJ1279
puj_traditional_base,LTFRB_PUJ1306
puj_traditional_base,LTFRB_PUJ1307
puj_traditional_base,LTFRB_PUJ1310
puj_traditional_base,LTFRB_PUJ1311
puj_traditional_base,LTFRB_PUJ1312
puj_traditional_base,LTFRB_PUJ1313
puj_traditional_base,LTFRB_PUJ1314
puj_traditional_base,LTFRB_PUJ1315
puj_traditional_base,LTFRB_PUJ1316
puj_traditional_base,LTFRB_PUJ1317
puj_traditional_base,LTFRB_PUJ1318
puj_traditional_base,LTFRB_PUJ1319
puj_traditional_base,LTFRB_PUJ1321
puj_traditional_base,LTFRB_PUJ1322
puj_traditional_base,LTFRB_PUJ1323
puj_traditional_base,LTFRB_PUJ1346
puj_traditional_base,LTFRB_PUJ1347
puj_traditional_base,LTFRB_PUJ1359
puj_traditional_base,LTFRB_PUJ1360
puj_traditional_base,LTFRB_PUJ1361
puj_traditional_base,LTFRB_PUJ1362
puj_traditional_base,LTFRB_PUJ1363
puj_traditional_base,LTFRB_PUJ1366
puj_traditional_base,LTFRB_PUJ1367
puj_traditional_base,LTFRB_PUJ1368
puj_traditional_base,LTFRB_PUJ1369
puj_traditional_base,LTFRB_PUJ1370
puj_traditional_base,LTFRB_PUJ1371
puj_traditional_base,LTFRB_PUJ1372
puj_traditional_base,LTFRB_PUJ1373
puj_traditional_base,LTFRB_PUJ1526
puj_traditional_base,LTFRB_PUJ1527
puj_traditional_base,LTFRB_PUJ1562
puj_traditional_base,LTFRB_PUJ1563
puj_traditional_base,LTFRB_PUJ1564
puj_traditional_base,LTFRB_PUJ1565
puj_traditional_base,LTFRB_PUJ1578
puj_traditional_base,LTFRB_PUJ1580
puj_traditional_base,LTFRB_PUJ1581
puj_traditional_base,LTFRB_PUJ1612
puj_traditional_base,LTFRB_PUJ1613
puj_traditional_base,LTFRB_PUJ1618
puj_traditional_base,LTFRB_PUJ1619
puj_traditional_base,LTFRB_PUJ1636
puj_traditional_base,LTFRB_PUJ1637
puj_traditional_base,LTFRB_PUJ1638
puj_traditional_base,LTFRB_PUJ1639
puj_traditional_base,LTFRB_PUJ1640
puj_traditional_base,LTFRB_PUJ1643
puj_traditional_base,LTFRB_PUJ1746
puj_traditional_base,LTFRB_PUJ1747
puj_traditional_base,LTFRB_PUJ1748
puj_traditional_base,LTFRB_PUJ1749
puj_traditional_base,LTFRB_PUJ1750
puj_traditional_base,LTFRB_PUJ1778
puj_traditional_base,LTFRB_PUJ1779
puj_traditional_base,LTFRB_PUJ1780
puj_traditional_base,LTFRB_PUJ1781
puj_traditional_base,LTFRB_PUJ1819
puj_traditional_base,LTFRB_PUJ1820
puj_traditional_base,LTFRB_PUJ1845
puj_traditional_base,LTFRB_PUJ1846
puj_traditional_base,LTFRB_PUJ1870
puj_traditional_base,LTFRB_PUJ1871
puj_traditional_base,LTFRB_PUJ1872
puj_traditional_base,LTFRB_PUJ1873
puj_traditional_base,LTFRB_PUJ1898
puj_traditional_base,LTFRB_PUJ1899
puj_traditional_base,LTFRB_PUJ1900
puj_traditional_base,LTFRB_PUJ1901
puj_traditional_base,LTFRB_PUJ1918
puj_traditional_base,LTFRB_PUJ1919
puj_traditional_base,LTFRB_PUJ1928
puj_traditional_base,LTFRB_PUJ1929
puj_traditional_base,LTFRB_PUJ1954
puj_traditional_base,LTFRB_PUJ1955
puj_traditional_base,LTFRB_PUJ1956
puj_traditional_base,LTFRB_PUJ1957
puj_traditional_base,LTFRB_PUJ2027
puj_traditional_base,LTFRB_PUJ2028
puj_traditional_base,LTFRB_PUJ2031
puj_traditional_base,LTFRB_PUJ2032
puj_traditional_base,LTFRB_PUJ2033
puj_traditional_base,LTFRB_PUJ2034
puj_traditional_base,LTFRB_PUJ2035
puj_traditional_base,LTFRB_PUJ2036
puj_traditional_base,LTFRB_PUJ2059
puj_traditional_base,LTFRB_PUJ2060
puj_traditional_base,LTFRB_PUJ2061
puj_traditional_base,LTFRB_PUJ2062
puj_traditional_base,LTFRB_PUJ2091
puj_traditional_base,LTFRB_PUJ2092
puj_traditional_base,LTFRB_PUJ2094
puj_traditional_base,LTFRB_PUJ2109
puj_traditional_base,LTFRB_PUJ2110
puj_traditional_base,LTFRB_PUJ2111
puj_traditional_base,LTFRB_PUJ2112
puj_traditional_base,LTFRB_PUJ2155
puj_traditional_base,LTFRB_PUJ2156
